Instance: j3060_1
Chains: 2
Steps: 3
Neighbours Initial N: 100
Neighbours Increase Coefficient: 1
Temperature Max: 100
Temperature Increase Coefficient: 0.25
108.10user 0.14system 1:46.02elapsed 102%CPU (0avgtext+0avgdata 27092maxresident)k
109.46user 0.02system 1:47.40elapsed 101%CPU (0avgtext+0avgdata 27144maxresident)k
108.33user 0.02system 1:46.16elapsed 102%CPU (0avgtext+0avgdata 27148maxresident)k
108.08user 0.01system 1:45.91elapsed 102%CPU (0avgtext+0avgdata 27276maxresident)k
108.29user 0.03system 1:46.21elapsed 101%CPU (0avgtext+0avgdata 27144maxresident)k
108.94user 0.01system 1:46.76elapsed 102%CPU (0avgtext+0avgdata 27140maxresident)k
108.51user 0.02system 1:46.34elapsed 102%CPU (0avgtext+0avgdata 27152maxresident)k
108.86user 0.03system 1:46.76elapsed 101%CPU (0avgtext+0avgdata 27016maxresident)k
107.67user 0.03system 1:45.52elapsed 102%CPU (0avgtext+0avgdata 26964maxresident)k
108.49user 0.02system 1:46.37elapsed 102%CPU (0avgtext+0avgdata 26956maxresident)k
108.12user 0.02system 1:45.99elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
108.32user 0.02system 1:46.18elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
108.02user 0.01system 1:45.84elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
108.25user 0.02system 1:46.11elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
110.31user 0.01system 1:48.16elapsed 102%CPU (0avgtext+0avgdata 27272maxresident)k
108.39user 0.02system 1:46.24elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
108.46user 0.03system 1:46.35elapsed 102%CPU (0avgtext+0avgdata 27084maxresident)k
108.90user 0.02system 1:46.73elapsed 102%CPU (0avgtext+0avgdata 27088maxresident)k
108.44user 0.01system 1:46.29elapsed 102%CPU (0avgtext+0avgdata 27088maxresident)k
108.40user 0.02system 1:46.27elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
108.88user 0.02system 1:46.78elapsed 101%CPU (0avgtext+0avgdata 27148maxresident)k
109.16user 0.02system 1:47.01elapsed 102%CPU (0avgtext+0avgdata 27100maxresident)k
108.17user 0.02system 1:46.00elapsed 102%CPU (0avgtext+0avgdata 27276maxresident)k
108.84user 0.03system 1:46.68elapsed 102%CPU (0avgtext+0avgdata 27216maxresident)k
108.27user 0.02system 1:46.15elapsed 102%CPU (0avgtext+0avgdata 27276maxresident)k
108.82user 0.01system 1:46.73elapsed 101%CPU (0avgtext+0avgdata 27152maxresident)k
108.21user 0.03system 1:46.05elapsed 102%CPU (0avgtext+0avgdata 27180maxresident)k
108.37user 0.03system 1:46.21elapsed 102%CPU (0avgtext+0avgdata 27176maxresident)k
107.51user 0.01system 1:45.37elapsed 102%CPU (0avgtext+0avgdata 27020maxresident)k
108.24user 0.01system 1:46.07elapsed 102%CPU (0avgtext+0avgdata 27060maxresident)k
108.75user 0.02system 1:46.64elapsed 101%CPU (0avgtext+0avgdata 27180maxresident)k
112.19user 0.02system 1:50.10elapsed 101%CPU (0avgtext+0avgdata 27144maxresident)k
107.48user 0.02system 1:45.27elapsed 102%CPU (0avgtext+0avgdata 27316maxresident)k
108.17user 0.03system 1:46.06elapsed 102%CPU (0avgtext+0avgdata 27020maxresident)k
109.05user 0.02system 1:46.89elapsed 102%CPU (0avgtext+0avgdata 27152maxresident)k
108.07user 0.01system 1:45.90elapsed 102%CPU (0avgtext+0avgdata 27140maxresident)k
108.43user 0.02system 1:46.32elapsed 102%CPU (0avgtext+0avgdata 27276maxresident)k
109.20user 0.02system 1:47.04elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
107.64user 0.01system 1:45.42elapsed 102%CPU (0avgtext+0avgdata 27272maxresident)k
